Datetime,Price
20-Jun-22,20554.1
19-Jun-22,20556
18-Jun-22,18978
17-Jun-22,20411
16-Jun-22,20394
15-Jun-22,22594
14-Jun-22,22172
13-Jun-22,22487
12-Jun-22,26670
11-Jun-22,28425
10-Jun-22,29103
9-Jun-22,30112.2
8-Jun-22,30230
7-Jun-22,31149
6-Jun-22,31371
5-Jun-22,29923.4
4-Jun-22,29877
3-Jun-22,29730
2-Jun-22,30478
1-Jun-22,29832
31-May-22,31792
30-May-22,31726.3
29-May-22,29476
28-May-22,29037
27-May-22,28609
26-May-22,29213
25-May-22,29524
24-May-22,29647
23-May-22,29091
22-May-22,30283
21-May-22,29439
20-May-22,29202
19-May-22,30329
18-May-22,28680
17-May-22,30442
16-May-22,29854
15-May-22,31319
14-May-22,30104
13-May-22,29306
12-May-22,29089.5
11-May-22,29095
10-May-22,31050
9-May-22,30158
8-May-22,34084
7-May-22,35508
6-May-22,36040
5-May-22,36577
4-May-22,39701.2
3-May-22,37751
2-May-22,38520
1-May-22,38496.1
30-Apr-22,37662
29-Apr-22,38600
28-Apr-22,39757.8
27-Apr-22,39263
26-Apr-22,38139
25-Apr-22,40456
24-Apr-22,39486
23-Apr-22,39446.7
22-Apr-22,39724
21-Apr-22,40502
20-Apr-22,41366.4
19-Apr-22,41516.8
18-Apr-22,40821
17-Apr-22,39707.6
16-Apr-22,40408.7
15-Apr-22,40587
14-Apr-22,39948
13-Apr-22,41155
12-Apr-22,40087
11-Apr-22,39565
10-Apr-22,42181
9-Apr-22,42780
8-Apr-22,42277
7-Apr-22,43458
6-Apr-22,43199
5-Apr-22,45481
4-Apr-22,46611.1
3-Apr-22,46383
2-Apr-22,45825
1-Apr-22,46301
31-Mar-22,45535
30-Mar-22,47035
29-Mar-22,47424
28-Mar-22,47105
27-Mar-22,46836
26-Mar-22,44536.4
25-Mar-22,44337
24-Mar-22,44003
23-Mar-22,42882
22-Mar-22,42370
21-Mar-22,41031
20-Mar-22,41249
19-Mar-22,42214
18-Mar-22,41774
17-Mar-22,40942.6
16-Mar-22,41148
15-Mar-22,39317
14-Mar-22,39717
13-Mar-22,37777.1
12-Mar-22,38816.3
11-Mar-22,38737
10-Mar-22,39458.5
9-Mar-22,41962.3
8-Mar-22,38757
7-Mar-22,38039
6-Mar-22,38437
5-Mar-22,39408
4-Mar-22,39171
3-Mar-22,42490
2-Mar-22,43952
1-Mar-22,44442
28-Feb-22,43202
27-Feb-22,37734
26-Feb-22,39125
25-Feb-22,39243
24-Feb-22,38380
23-Feb-22,37292
22-Feb-22,38299
21-Feb-22,37054
20-Feb-22,38420
19-Feb-22,40141
18-Feb-22,40037
17-Feb-22,40556
16-Feb-22,43885
15-Feb-22,44559.9
14-Feb-22,42559.9
13-Feb-22,42091
12-Feb-22,42239.1
11-Feb-22,42418
10-Feb-22,43545
9-Feb-22,44432
8-Feb-22,44060.5
7-Feb-22,43865
6-Feb-22,42423
5-Feb-22,41454
4-Feb-22,41562.7
3-Feb-22,37331
2-Feb-22,36925
1-Feb-22,38733
31-Jan-22,38526
30-Jan-22,37939
29-Jan-22,38197
28-Jan-22,37759.8
27-Jan-22,37217
26-Jan-22,36830.8
25-Jan-22,36994
24-Jan-22,36702
23-Jan-22,36308
22-Jan-22,35103
21-Jan-22,36501
20-Jan-22,40740
19-Jan-22,41676
18-Jan-22,42390
17-Jan-22,42242
16-Jan-22,43084
15-Jan-22,43069
14-Jan-22,43091
13-Jan-22,42562
12-Jan-22,43909
11-Jan-22,42743
10-Jan-22,41839
9-Jan-22,41850
8-Jan-22,41679
7-Jan-22,41518
6-Jan-22,43111
5-Jan-22,43418
4-Jan-22,45830
3-Jan-22,46445
2-Jan-22,47314
1-Jan-22,47755
31-Dec-21,46218
30-Dec-21,47156
29-Dec-21,46465
28-Dec-21,47554
27-Dec-21,50684
26-Dec-21,50797
25-Dec-21,50437
24-Dec-21,50815
23-Dec-21,50812
22-Dec-21,48626
21-Dec-21,48923
20-Dec-21,46898
19-Dec-21,46716.5
18-Dec-21,46879
17-Dec-21,46193
16-Dec-21,47675
15-Dec-21,48901
14-Dec-21,48408
13-Dec-21,46777
12-Dec-21,50123
11-Dec-21,49363.1
10-Dec-21,47170
9-Dec-21,47611
8-Dec-21,50503.4
7-Dec-21,50634
6-Dec-21,50566.6
5-Dec-21,49469
4-Dec-21,49272
3-Dec-21,53709
2-Dec-21,56517
1-Dec-21,57250
30-Nov-21,56938
29-Nov-21,57845
28-Nov-21,57325
27-Nov-21,54836
26-Nov-21,53738
25-Nov-21,58995
24-Nov-21,57209
23-Nov-21,57602
22-Nov-21,56299
21-Nov-21,58790
20-Nov-21,59739
19-Nov-21,58130
18-Nov-21,57014
17-Nov-21,60386.1
16-Nov-21,60124
15-Nov-21,63562
14-Nov-21,65471
13-Nov-21,64406
12-Nov-21,64156
11-Nov-21,64801
10-Nov-21,64954
9-Nov-21,66935
8-Nov-21,67526
7-Nov-21,63259.1
6-Nov-21,61496
5-Nov-21,61016.4
4-Nov-21,61422.8
3-Nov-21,62904
2-Nov-21,63249
1-Nov-21,60927
31-Oct-21,61330
30-Oct-21,61838.8
29-Oct-21,62235
28-Oct-21,60598
27-Oct-21,58453
26-Oct-21,60290
25-Oct-21,63100
24-Oct-21,60847
23-Oct-21,61302
22-Oct-21,60708
21-Oct-21,62200
20-Oct-21,65988
19-Oct-21,64237
18-Oct-21,62034
17-Oct-21,61511
16-Oct-21,60867.5
15-Oct-21,61709
14-Oct-21,57354
13-Oct-21,57381
12-Oct-21,55967
11-Oct-21,57468
10-Oct-21,54701
9-Oct-21,54978
8-Oct-21,53925
7-Oct-21,53793
6-Oct-21,55331
5-Oct-21,51508
4-Oct-21,49252
3-Oct-21,48243
2-Oct-21,47675
1-Oct-21,48157
30-Sep-21,43830
29-Sep-21,41551
28-Sep-21,41064
27-Sep-21,42191
26-Sep-21,43180
25-Sep-21,42711
24-Sep-21,42878
23-Sep-21,44882
22-Sep-21,43582.6
21-Sep-21,40664
20-Sep-21,43002
19-Sep-21,47239
18-Sep-21,48309
17-Sep-21,47292
16-Sep-21,47786
15-Sep-21,48136
14-Sep-21,47078
13-Sep-21,44960
12-Sep-21,46069
11-Sep-21,45169
10-Sep-21,44852
9-Sep-21,46389
8-Sep-21,46088
7-Sep-21,46778
6-Sep-21,52676
5-Sep-21,51762
4-Sep-21,49899
3-Sep-21,50000
2-Sep-21,49291
1-Sep-21,48844
31-Aug-21,47157
30-Aug-21,47008
29-Aug-21,48800
28-Aug-21,48914
27-Aug-21,49076.1
26-Aug-21,46832
25-Aug-21,48989
24-Aug-21,47714
23-Aug-21,49539
22-Aug-21,49264
21-Aug-21,48868
20-Aug-21,49332
19-Aug-21,46765
18-Aug-21,44744
17-Aug-21,44698
16-Aug-21,45940
15-Aug-21,47031
14-Aug-21,47084
13-Aug-21,47842
12-Aug-21,44423
11-Aug-21,45546
10-Aug-21,45612
9-Aug-21,46293
8-Aug-21,43770
7-Aug-21,44589
6-Aug-21,42830
5-Aug-21,40887
4-Aug-21,39754
3-Aug-21,38207
2-Aug-21,39156
1-Aug-21,39922
31-Jul-21,41409
30-Jul-21,42169
29-Jul-21,40041
28-Jul-21,40004
27-Jul-21,39563
26-Jul-21,37296
25-Jul-21,35407
24-Jul-21,33845
23-Jul-21,33597.1
22-Jul-21,32320
21-Jul-21,32141
20-Jul-21,29806.1
19-Jul-21,30847
18-Jul-21,31824
17-Jul-21,31559
16-Jul-21,31429
15-Jul-21,31857
14-Jul-21,32822.6
13-Jul-21,32727
12-Jul-21,33090
11-Jul-21,34239
10-Jul-21,33506
9-Jul-21,33769
8-Jul-21,32873.9
7-Jul-21,33886
6-Jul-21,34140
5-Jul-21,33668
4-Jul-21,35289
3-Jul-21,34758
2-Jul-21,33816
1-Jul-21,33554.4
30-Jun-21,35043.5
29-Jun-21,35895.9
28-Jun-21,34484
27-Jun-21,34717
26-Jun-21,32359
25-Jun-21,31584
24-Jun-21,34656.6
23-Jun-21,33703
22-Jun-21,32553
21-Jun-21,31761
20-Jun-21,35631
19-Jun-21,35585.8
18-Jun-21,35802
